Source,Reference,Prediction,Direction
"Knowledge, practices in public health service utilization among health insurance card’s holders and influencing factors in Vientiane, Lao","Thực trạng kiến thức và thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố ảnh hưởng tại tỉnh Viêng Chăn, CHDCND Lào, năm 2017","Kiến thức, thực hành sử dụng dịch vụ y tế công cộng của người dân có thẻ bảo hiểm y tế và các yếu tố ảnh hưởng tại thành phố Vientiane, Lào.",En-Vi
"Describe knowledge, practices in public health service utilization among health insurance card's holders and influencing factors in Vientiane, Lao PDR, 2017.","Mô tả thực trạng kiến thức, thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố liên quan tại tỉnh Viêng Chăn, Cộng hoà Dân chủ Nhân dân Lào năm 2017.","Mô tả kiến thức, thực hành sử dụng dịch vụ y tế công cộng của người dân có thẻ bảo hiểm y tế và các yếu tố ảnh hưởng tại thành phố Vientiane, Lào PDR",En-Vi
"Methodology: A cross sectional study was used among 928 adult health insurance card's holders in Phone Hong and Keo Oudom districts, Vientiane province.","Phương pháp: Thiết kế nghiên mô tả cắt ngang được thực hiện trên 928 người trưởng thành có thẻ bảo hiểm y tế tại 2 huyện Phone Hong và Keo Oudom, tỉnh Viêng Chăn.","Phương pháp nghiên cứu: Nghiên cứu cắt ngang được thực hiện trên 928 người dân có thẻ bảo hiểm y tế tại huyện Phong Hộ và Kéo Ô Động, tỉnh",En-Vi
Results: Percentage of card's holders who knew the finance-free utilization of the first registered public health services was 44.5% and being provided health insurance information was 34.8%.,"Kết quả: Tỷ lệ người biết được khám chữa bệnh (KCB) miễn phí tại nơi đăng ký ban đầu chiếm 44,5%, được cung cấp thông tin về bảo hiểm y tế (BHYT) chiếm 34,8%.","Kết quả: Tỷ lệ người dân biết sử dụng dịch vụ y tế công phí là 44,5% và biết thông tin về bảo hiểm y tế là 34,8%. (end",En-Vi
Percentage of card's holders who went to the first registered public health services was 61.8%.,"Tỷ lệ người có thẻ BHYT thực hành khám chữa bệnh đúng nơi đăng ký KCB ban đầu chiếm 61,8%.","Tỷ lệ người dân đến khám sức khoẻ ban đầu tại các cơ sở y tế công lập là 61,8%.",En-Vi
Percentage of card's holders who went to public health services to receive medicines for their relatives / others people was 20.1%.,"Tỷ lệ người có thẻ BHYT sử dụng thẻ để lấy thuốc cho người khác khá cao (20,1%).","Tỷ lệ người bệnh đến các cơ sở y tế công lập để được tư vấn và sử dụng thuốc cho người thân / người khác là 20,1%.",En-Vi
"The determinants of knowledge and practices in public health service utilization among health insurance card's holders were distance and time taken to health services, time of health insurance and health insurance information provided.","Các yếu tố khoảng cách từ nhà đến cơ sở y tế, thời gian tham gia BHYT và được tiếp nhận thông tin về BHYT của người có thẻ BHYT là những yếu tố ảnh hưởng đến kiến thức và thực hành sử dụng thẻ BHYT trong khám chữa bệnh.","Các yếu tố ảnh hưởng đến kiến thức và thực hành sử dụng dịch vụ y tế công của người dân là khoảng cách và thời gian đi khám bệnh, thời gian sử dụng thẻ bảo hiểm y tế",En-Vi
Conclusions: Knowledge and practices in public health service utilization among health insurance card's holders were still limited.,Kết luận: Kiến thức và thực hành của người có thẻ BHYT trong sử dụng dịch vụ y tế công tại Cộng hoà Dân chủ Nhân dân Lào còn hạn chế.,Kết luận: Kiến thức và thực hành sử dụng dịch vụ y tế công cho người dân có thẻ BHYT còn hạn chế.,En-Vi
It's necessary to provide health insurance communication and education for people who live in remote areas and participate interupted health insurance.,Cần tập trung vào truyền thông cho những nhóm người sống xa cơ sở y tế và những người tham gia bảo hiểm y tế không liên tục.,"Cần cung cấp thông tin truyền thông giáo dục bảo hiểm y tế cho người dân sống ở vùng sâu, vùng xa và tham gia bảo hiểm y tế bị gián đoạn.",En-Vi
Studying the method of quantification of diclofenac sodium in traditional herbal medicines used for treatment or support osteoarthritis by high performance liquid chromatography,Nghiên cứu xác định thuốc diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao,Nghiên cứu phương pháp định lượng diclofenac sodium trong các sản phẩm thảo dược sử dụng điều trị hoặc hỗ trợ thoái hoá khớp bằng sắc ký lỏng hiệu năng ca,En-Vi
"In order to contribute to the detection of banned substances in traditional herbal medicines, we conducted a study on the method of quantification of diclofenac sodium in traditional herbal medicines which are used for treatment or support for osteoarthritis by high performance liquid chromatography (HPLC).","Để góp phần vào công tác kiểm tra phát hiện các chất cấm trộn lẫn trong thuốc đông dược, chúng tôi tiến hành đề tài xây dựng phương pháp định lượng diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao với detector UV-vis.","Để góp phần phát hiện các chất cấm trong dược liệu cổ truyền, chúng tôi tiến hành nghiên cứu phương pháp định lượng diclofenac sodium trong dược liệu được sử dụng điều trị",En-Vi
"After precipating, diclofenac sodium was eluted by HPLC using a reverse-phase column (C8, 150 mm x 4.6 mm, 5 μm), mobile phase contains methanol / phosphat buffer (70: 30 v / v, pH 2.5), at a flow rate of 1.0 ml / min, and a wavelength detection at 275 nm.","Sau khi xử lý mẫu diclofenac natri được tiến hành định lượng bằng phương pháp sắc ký lỏng hiệu năng cao với cột pha đảo (C 8, 150 mm x 4,6 mm, 5 μm), pha động methanol / đệm phosphat pH 2,5 (7 0:3 0 v / v) tốc độ dòng chảy là 1,0 ml / phút, bước sóng phát hiện 275 nm.","Sau khi khởi phát, diclofenac sodium được tách bằng phương pháp sắc ký lỏng hiệu năng cao (HPLC) sử dụng bộ thu thập mẫu có chiều dài",En-Vi
"Therefor, the method was appropriately formulated to determine diclofenac sodium in herbal medicines.",Như vậy phương pháp đã xây dựng phù hợp đề xác định diclofenac natri trong dược liệu.,"Do đó, phương pháp này được xây dựng để xác định hàm lượng diclofenac trong các sản phẩm thảo dược.",En-Vi
Research for clinical characteristics and plasma dopamine concentrations in schizophrenic patients,Nghiên cứu đặc điểm lâm sàng và nồng độ dopamin huyết tương ở bệnh nhân tâm thần phân liệt,Nghiên cứu đặc điểm lâm sàng và nồng độ dopamine huyết tương ở bệnh nhân tâm thần phân liệt.,En-Vi
The purpose of this study was to evaluate the effects of a mixture extract of C chrysantha and G pentaphyllum on weight loss and lowering lipid blood levels in obese Swiss mice.,"Nghiên cứu được thực hiện nhằm đánh giá tác dụng giảm cân, hạ lipid máu của hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam trên chuột nhắt trắng gây béo phì.",Mục đích của nghiên cứu này là đánh giá tác dụng giảm cân và hạ lipid máu trên chuột nhắt trắng béo bằng cao chiết từ lá cây C. chrysantha,En-Vi
Swiss mice were randomly allocated into 5 groups with 8 animals in each group.,Chuột nhắt trắng chủng Swiss được chia ngẫu nhiên thành 5 lô với 8 con trong mỗi lô.,Cấy ghép chuột Swiss được phân bổ ngẫu nhiên vào 5 nhóm với 8 con chuột trong mỗi nhóm.,En-Vi
Group 1: non-obese mice.,Lô 1: chuột không gây béo phì.,Nhóm 1: chuột không béo.,En-Vi
"With the remaining 4 groups, the mice were induced to become obese for 8 weeks.","Với 4 lô còn lại, chuột được gây béo phì trong vòng 8 tuần.",Bệnh nhân bị nhồi máu cơ tim cấp.,En-Vi
"mice were fed with distilled water (group 2) mixture extract at a dose of 12g / kg / day (group 3), 24g / kg / day (group 4) and atorvastatin at a dose of 15mg / kg / day (group 5).","Sau đó với lô 2 chuột được uống nước cất, lô 3 chuột được uống hỗn hợp dịch chiết liều 12 g / kg / ngày, lô 4 chuột được uống hỗn hợp dịch chiết liều 2 4g / kg / ngày và lô 5 chuột được uống atorvastatin liều 15 mg / kg / ngày.",Mô hình gây nhồi máu cơ tim cấp được thực hiện bằng,En-Vi
The feeding time period was 14 days.,Thời gian uống thuốc thử là 14 ngày.,Thời gian nuôi ăn từ ngày thứ 1 đến ngày thứ,En-Vi
"Mice in each group was assessed for weight weekly and the levels of Total Cholesterol (CT), HDLCholesterol (HDL-C), LDL-Cholesterol (LDL-C) and Triglyceride (TC) was recorded at initial time (after obesity was induced for 8 weeks) and 1 hour after taking the extracted mixtures on the last day.","Trọng lượng chuột ở mỗi lô được đánh giá hàng tuần và hàm lượng Cholesterol toàn phần (CT), HDL-Cholesterol (HDL-C), LDL-Cholesterol (LDL-C) và Triglycerid (TC) tại các thời điểm chưa uống thuốc (sau gây béo phì 8 tuần) và sau uống thuốc thử ngày cuối 1 giờ.",Cấy ghép chuột vào mỗi nhóm được đánh giá trọng lượng,En-Vi
"The results showed that the mixture extract of C chrysantha and G pentaphyllum at doses of 12 g / kg / day and 24 g / kg / day, atorvastatin at a dose of 15 mg / kg / day (group 3, 4, 5) induced weight loss and decreased TC, CT, LDL-C levels compared with group 2 (p < 0.05) and the difference was not statistically significant between groups 3, 4, 5 (p > 0.05).","Kết quả cho thấy hỗn hợp dịch chiết lá Trà hoa vàng và Giảo cổ lam ở liều 12 g / kg / ngày và 24 g / kg / ngày, atorvastatin liều 15 mg / kg / ngày (lô 3,4,5) đều giảm có ý nghĩa thống kê thể trọng chuột và các chỉ số CT, LDL-C và TC so với lô 2 (p < 0,05) và khác biệt không có ý nghĩa thống kê giữa các lô 3,4,5 (p > 0,05).",Kết quả cho thấy cao chiết từ lá C. chry,En-Vi
"Research characteristics of clinical, paraclinical peripheral nerve damage in newly diagnosed type 2 diabetes patients",Đặc điểm lâm sàng và điện sinh lý của tổn thương thần kinh ngoại vi ở người bệnh đái tháo đường tuýp 2 mới được chẩn đoán,"Nghiên cứu đặc điểm lâm sàng, cận lâm sàng",En-Vi
"A cross-sectional descriptive study was implemented to assess fluor contaminated teeth among children aged 12 years of Thai ethnic group in Con Cuong district, Nghe An province.","Nghiên cứu mô tả cắt ngang nhằm đánh giá tình trạng răng nhiễm fluor ở trẻ 12 tuổi dân tộc Thái tại huyện Con Cuông, tỉnh Nghệ An.",Nghiên cứu mô tả cắt ngang nhằm đánh giá tình trạng,En-Vi
"The study was completed in May 2015 with 476 children aged 12 years at 9 secondary schools, applying the methodology of investigation and classification of WHO-2013 with the Dean's fluorosis index.",Nghiên cứu được hoàn thành vào tháng 5/2015 với 476 trẻ 12 tuổi tại 9 trường trung học cơ sở. Nghiên cứu theo phương pháp điều tra và phân loại của Tổ chức Y tế Thế giới (WHO) năm 2013 sử dụng chỉ số răng nhiễm fluor Dean.,"Nghiên cứu được thực hiện từ tháng 5/2015 đến tháng 8/2015 với 476 trẻ tuổi 12 tuổi tại 9 trường THPT, áp dụng phương pháp nghiên cứu và phân loại của WHO-2013 với chỉ số răng nhiễm fluor của Dean.",En-Vi
Research results showed that: The rate of 12-year-old children with fluor contaminated teeth including the suspicion level was 13.2%.,"Kết quả nghiên cứu: Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu tính cả mức độ nghi ngờ là 13,2%.","Kết quả nghiên cứu cho thấy tỷ lệ trẻ 12 tuổi có răng nhiễm tia chiếu tia quang bao gồm mức độ nghi ngờ là 13,2%.",En-Vi
The rate of 12-year-old children with fluor contaminated teeth without suspicion level was 7.1%.,"Tỷ lệ trẻ 12 tuổi có răng nhiễm fluor nếu không tính mức độ nghi ngờ là 7,1%.","Tỷ lệ trẻ 12 tuổi có răng nhiễm tia chiếu xạ không nghi ngờ là 7,1%.",En-Vi
"Mostly suspected and very mild, there was no case of severe fluor contaminated teeth. There was only one case of moderate fluor contaminated teeth.","Chủ yếu là mức độ nghi ngờ và rất nhẹ, không có trường hợp răng nhiễm fluor nặng, chỉ duy nhất một ca răng nhiễm fluor ở mức độ trung bình.",Bệnh nhân bị nhồi máu cơ tim cấp.,En-Vi
